Platform,Game Summary,Publisher,3D,Title,Series,Series Order,Rating,Genre,Subgenre,IGN Score,Release Date,Developers,Players,Country of Purchase,Input Devices,Media Type,Special Edition,Discs,Packaging,Preordered,Quantity,Estimated Value,Purchase Price,Purchase Date,Condition,Notes,Barcode,Item ID,Date Added, Collection/Wishlist
DS,,THQ,No,Daniel X: The Ultimate Power,,,E10+,"Action, Adventure",,,12/31/1969,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$0.00 ,2/23/2020,Complete In Case,Game Over - 410,7.85E+11,1045921,2/23/2020 22:11,Collection
Xbox 360,"The Italian mercenary Dante returns home from the bloodletting that was the Third Crusade to two pieces of soul-crushing news. The first is that although he was assured that he was absolved of mortal sins committed in the form of wartime atrocities in the name of the churches interests in the Holy Land, that is not actually the case and his immortal soul is in grave peril. The second and more terrible is that his beloved Beatrice has been murdered, and her soul pulled down into hell by a dark force. Vowing not to accept the damnation of either souls, he gives chase, vows to get Beatrice back and descends into the infamous nine circles of hell.",Electronic Arts/EA Games,No,Dante’s Inferno,,,M,Hack n’ Slash,,7.9,2/4/2010,Electronic Arts/EA Games,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,,,,,,14633192223,1103631,1/3/2019 15:06,Collection
Xbox 360,No instructions,Ubisoft,No,Dark Messiah: Might and Magic Elements,,,M,"Action, Fantasy, Role Playing Game",,7,2/12/2008,Arkane Studios,1,Canada,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$5.39 ,$5.39 ,5/20/2013,,,8888523154,970067,1/3/2019 15:06,Collection
Xbox 360,"Code: BLUS-3011
The virus 
The source of your pain....
your enemy...Your power 
Unleash the deadly power of the glaive and become the hero",D3 Publisher,,Dark Sector,,,M,"Action, Third Person Shooter",,7.7,3/25/2008,Digital Extremes,1,Mexico,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$1.79 ,$1.79 ,6/8/2013,,,8.79E+11,902726,1/3/2019 15:06,Collection
Xbox 360,"Dark Souls (ダークソウル Dāku Souru) is a video game developed by From Software, who will also publish the game as an exclusive title for the PlayStation 3 in Japan. Namco Bandai Games will serve as publisher of the game for both PlayStation 3 and Xbox 360 for all other regions. It was previously developed under the codename Project Dark and is the spiritual successor to Demon’s Souls. Dark Souls was released in Japan, for the PlayStation 3, on September 22, 2011, and for Xbox 360 and PlayStation 3, on October 4 in North America and on October 7 in Europe of the same year.

Reception

Famitsu gave the game a highly positive review, scoring it 37 out of 40, based on four scores of 9, 9, 9, and 10. This was much higher than its predecessor Demon’s Souls which received a score of 29 out of 40, based on four scores of 7, 9, 6, and 7. One of the reviewers for Dark Souls described it as ”a very hardcore dark-fantasy RPG” that is ”role-playing right down to the roots,” and stated that the ”massive field map and powerful enemies serve to rev up both your sense of adventure and your sense of dread.” Another reviewer stated that ”the sheer happiness you get after the trial-and-error pays off and you overcome the challenge is absolutely impossible to replicate”.
Gamespot scored Dark Souls a 9.5/10, complimenting just about every aspect of it. Much praise was given to the online system, as well as the sense of jubilation felt when conquering boss fights after numerous failed attempts. They also suggested that casual gamers may struggle with making progress in the game, whereas, RPG enthusiasts will thrive on the difficulty.
IGN gave Dark Souls a 9.0/10, praising the game’s very well-thought out level design, variety, strong emphasis on online features, excessively dark tone and atmosphere and very deep gameplay. They also noted that it is not a game that you can simply jump into and play for plain enjoyment. They went as far to say that it is not a game for the timid and that the game requires both skill and strategy almost all the time. While praising the extremely high difficulty, they stated that ”there’s a difference between punishing, and downright unfair.”
While many are praising Dark Souls for its amazing singleplayer feel and mechanics, a great deal of the fans are deeply displeased by its multiplayer aspects. The developers have only stated that the game is working as intended, but have not made any official statement on whether or not they will do anything about the complaints the many fans have. Andrew ”Cubninja” Gaskill of Co-Optimus had this to say ”This is a truly baffling design decision from FromSoftware which degrades a key feature gamers fell in love with in Demon’s Souls.”",Namco Bandai,No,Dark Souls,,,M,"Action, Role Playing Game",,9,10/7/2011,From Software,4,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$16.19 ,$16.19 ,10/27/2013,,,7.23E+11,1163072,1/3/2019 15:07,Collection
Xbox 360,"Rise up!

The first fully 3D action shooter.

Gravity defying vertical combat.

Fly anywhere; fight everywhere.

Step into the void... a sinister, parallel world of hostile aliens, powerful weapons and deep mystery.

Dark Void’s unique combination of jet pack boosted, 360° dog-fighting and ground combat brings a thrilling new gameplay dynamic to video-gaming. Experience the seamless transition between flight and fight as you battle to the alien ”watchers” in this epic adventure from Capcom.",Capcom,No,Dark Void,,,T,"Action, Third Person Shooter",,5,1/19/2010,Capcom,1,United Kingdom,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$3.59 ,$3.59 ,3/1/2013,,,13388330096,925722,1/3/2019 15:06,Collection
Xbox 360,"Penned by legendary comic book artist Joe Madureira (X-Men, Battle Chasers, The Ultimates), Darksiders: Wrath of War is set in a Post-Apocalyptic demon-ravaged world where evil forces have prematurely brought about the end of the time. Originally sent to oversee the destruction of Earth, the Four Horsemen of the Apocalypse have been betrayed by their master, stripped of their powers and cast down to Earth. Players take on the role of WAR -- the first of the Four Horsemen -- as he embarks on a brutal quest of vengeance and revenge against the forces that betrayed him with the help of his phantom steed RUIN. Darksiders: Wrath of War features open-world exploration, a deep combat system and a huge arsenal of modern and mythical weapons.",THQ,No,Darksiders,,,M,"Action, Adventure, Hack n’ Slash, Platform",,Adventure,1/5/2010,Vigil Games,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,,,,,,7.53E+11,895412,1/3/2019 15:05,Collection
Wii U,,THQ Nordic,No,Darksiders: Warmastered Edition,,,M,"Action, Adventure, Horror",,9,6/6/2017,KAIKO/Vigil Games,1,United States,Controller Game Pad,Blu-Ray Disc,,1,Colored Snap Case,No,1,,$10.99 ,8/5/2019,Sealed In Case,Amazon,8.12E+11,1498737,3/2/2020 12:39,Collection
Xbox,Missing Manual ,Capcom,,Darkwatch,,,M,First Person Shooter,,7.9,8/1/2005,High Moon Studios,4,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$4.99 ,$4.99 ,3/2/2013,,,13388290208,1191699,1/3/2019 15:06,Collection
Sega Genesis,,Tengen,,Davis Cup Complete Tennis,,,E,Sports,,,12/31/1969,,,United States,Controller Game Pad,Cartridge,,,Thick Snap Case,No,1,,,,,,31763055501,1238578,1/3/2019 15:06,Collection
