Platform,Game Summary,Publisher,3D,Title,Series,Series Order,Rating,Genre,Subgenre,IGN Score,Release Date,Developers,Players,Country of Purchase,Input Devices,Media Type,Special Edition,Discs,Packaging,Preordered,Quantity,Estimated Value,Purchase Price,Purchase Date,Condition,Notes,Barcode,Item ID,Date Added, Collection/Wishlist
DS,"An international conspiracy has placed the UK’s most secretive bio-chemical project into deadly hands, and only Her Majesty’s most lethal agent, James Bond, can unravel the mystery. To navigate through layers of corruption, you, as Bond, will embark on a global chase that will have you battling on land, sea and air through Athens, Istanbul, Monaco, and Bangkok. Nothing is what it seems as each adventure reveals a deeper and more sinister conspiracy. A mix of third-person gunplay, hand-to-hand combat and the driving action, James Bond 007: Blood Stone features Daniel Craig, Judi Dench and Joss Stone. The game features various modes and multiplayer mode for up to 16 people. Engage in precise cover-based gameplay and tactical firefights, and speed your way through explosive, adrenalin-fueled driving sequences. Become Bond as he engages in intense hand-to-hand combat and uses his environment to finish off enemies.",Activision,No,007: Blood Stone,,,T,Third Person Shooter,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,,1,,$9.47 ,6/7/2021,Complete In Case,Lukie Games,47875837270,1147616,6/11/2021 16:28,Collection
DS,"James Bond is back to settle the score in Quantum of Solace: The Game. Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions.
Seamlessly blending the heart-pounding action and excitement of the upcoming Quantum of Solace feature film with the Casino Royale movie, the title propels players into the cinematic experience of international espionage. Based on the renowned Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, Quantum of Solace: The Game delivers superior high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films.",Activision,,007: Quantum Of Solace,,,T,First Person Shooter,,6.8,11/4/2008,Vicarious Visions,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$5.39 ,$5.39 ,12/7/2011,Complete In Case,???,47875832756,960421,1/3/2019 20:16,Collection
DS,,DSI Games,No,1 Vs 100,,,E,Trivia,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$3.33 ,1/19/2020,Complete In Case,eBay,8.02E+11,1046256,1/23/2020 22:47,Collection
DS,Play classic games.,Ubisoft,No,100 All-Time Favorites,,,E,Board,,,10/27/2009,Ubisoft,2,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,1/2/2020,Used,"Complete in Case
eBay",8888165675,1205319,2/1/2020 15:40,Collection
DS,,Nintendo,No,100 Classic Books,,,E,Educational,,0,6/14/2010,Nintendo,1,United States,Handheld Console,Cartridge,,0,Snap Case,No,1,,$4.49 ,12/31/2019,Complete In Case,GameStop - Judson Market,45496740962,1162305,2/1/2020 21:01,Collection
DS,,Maximum Family Games,No,1001 Touch Games,,,E,Compilation,,,12/31/2000,Avanquest Software,4,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$12.18 ,12/9/2019,Used,"Complete in Case
eBay",8.14E+11,1183677,2/1/2020 16:33,Collection
DS,,Atlus,,101 In 1 Sports Megamix,,,E10+,"Sports, Compilation",,,12/31/1969,Atlus,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$20.00 ,$20.00 ,8/8/2012,Sealed In Case,Toys R Us,7.31E+11,1043405,1/3/2019 15:07,Collection
Wii,Download,Atlus,,101 In 1: Party Megamix,,,E10+,Compilation,,,12/31/1969,Atlus,4,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$5.99 ,$5.99 ,8/5/2013,,,7.31E+11,925715,1/3/2019 15:07,Collection
DS,"101 addictive games! Arcade, sports, puzzles, Suduko, and more!",Atlus,,101 in 1 Explosive Megamix,,,E,Platform,,2.5,4/21/2009,Atlus,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$13.49 ,12/23/2011,Complete In Case,???,7.31E+11,972094,1/3/2019 20:16,Collection
Nintendo 64,Complete.,Nintendo,No,1080 Snowboarding,,,,"Racing, Sports",,8.6,11/30/1998,Nintendo,2,Canada,Controller Game Pad,Cartridge,No,0,Cardboard Box,No,1,,,,,,45496870249,984618,1/3/2019 15:06,Collection
DS,,Destineer,No,18 Classic Card Games,,,T,,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.99 ,1/5/2020,Complete In Case,eBay,8.28E+11,1334210,1/20/2020 15:28,Collection
DS,50 classic games,Adventure Soft,No,50 Classic Games,,,E,"Board, Compilation",,5,,Destineer,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,12/30/2019,Complete In Case,Game Over - 410,8.28E+11,963551,1/21/2020 22:25,Collection
DS,,Destineer,No,50 More Classic Games,,,E,Compilation,,,12/31/1969,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.77 ,1/24/2020,Used,"Complete in Case
eBay",8.28E+11,1175285,2/3/2020 19:15,Collection
Sega Genesis,"Goldenaxe, Sonic The Hedgehog, Columns, Revenge Of Shinobi, Streets Of Rage, Super Hang-On
cib",Sega,No,6-Pak,,,E,"Action, Fantasy, Fighting, Hack n’ Slash, Platform, Puzzle, Racing, Sports, Compilation",,8,1/1/1995,Sega,2,United States,Controller Game Pad,Cartridge,No,0,Thick Snap Case,No,1,,,,,,10086017175,1065297,1/3/2019 15:06,Collection
DS,,Mumbo Jumbo,,7 Wonders II,,,E,Puzzle,,,12/31/1969,,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$16.19 ,$16.19 ,,Complete In Case,???,8.12E+11,1064251,1/3/2019 15:07,Collection
DS,,Mumbo Jumbo,No,7 Wonders of the Ancient World,,,E,Puzzle,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$9.47 ,2/16/2020,Complete In Case,Lukie Games,8.12E+11,930853,2/23/2020 20:02,Collection
DS,,Mumbo Jumbo,No,7 Wonders: Treasures of Seven,,,E,Puzzle,,,12/31/1969,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.99 ,5/2/2020,Sealed In Case,eBay,8.12E+11,1207861,5/9/2020 21:20,Collection
3DS,,Sega,Yes,7th Dragon III Code: VFD (Launch Edition),,,T,Role Playing Game,,,7/12/2016,Criware,1,United States,Handheld Console,Cartridge,Yes,,Box Set,No,1,,$34.63 ,7/12/2016,Sealed In Box,Best Buy,10086611212,1504265,1/11/2019 19:38,Collection
Wii,Feed the blob jellybeans to advance.,Majesco Entertainment,No,A Boy And His Blob,,,E,"Platform, Puzzle",,7.6,10/9/2009,Wayforward,1,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$6.29 ,$6.29 ,3/23/2013,,,96427016120,1340739,1/3/2019 15:06,Collection
DS,,NIS America,No,A Witch’s Tale,,,E10+,Role Playing Game,,,10/13/2009,Hit Maker,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,,,1/26/2015,Used,"Complete in Case
eBay",8.58E+11,1217798,1/3/2019 17:58,Collection
Wii,,Mad Duck Productions,No,AMF Bowling Pinbusters!,,,E,Sports,,2,11/20/2007,Atomic Planet Entertainment,4,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$4.00 ,$4.00 ,6/4/2018,Complete In Case,GameStop - University Heights,93155126503,1167216,1/3/2019 15:07,Collection
DS,,Vir2L Studios,No,AMF Bowling Pinbusters!,,,E,Sports,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$11.55 ,1/6/2020,Complete In Case,eBay,93155127609,1167217,1/20/2020 15:23,Collection
DS,,Majesco,No,ATV Quad Frenzy,,,E,Racing,,4.8,11/22/2005,Skyworks Interactive,4,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$11.69 ,4/22/2012,Complete In Case,???,96427014133,1228636,1/3/2019 18:47,Collection
DS,,Storm City Games,No,ATV Quad Kings,,,E,"Racing, Simulation",,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.00 ,11/26/2019,Complete In Case,Game Over - 410,8.14E+11,1385457,2/1/2020 14:48,Collection
DS,,DSI Games,No,ATV Thunder Ridge Riders / Monster Trucks Mayhem,,,E,Racing,,,8/9/2007,,2-Jan,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,12/30/2019,Complete In Case,Game Over - I-35,8.02E+11,1382233,1/22/2020 21:43,Collection
DS,,Destineer,No,ATV: Wild Ride,,,E,,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.00 ,2/23/2020,Used,"Complete in Case
eBay",8.28E+11,1509687,10/3/2020 20:47,Collection
DS,,Capcom,No,Ace Attorney: Apollo Justice,,,T,Adventure,,8.3,2/19/2008,Capcom,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,$13.00 ,$13.00 ,7/17/2011,Complete In Case,???,13388320127,1000365,1/3/2019 21:07,Collection
DS,,Capcom,No,Ace Attorney: Miles Edgeworth: Investigations,,,T,Puzzle,,7.6,2/16/2010,Capcom,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,,$10.80 ,7/20/2014,Complete In Case,GameStop - Arbor Park,13388320189,1269463,1/3/2019 17:54,Collection
3DS,,Namco Bandai Games,No,Ace Combat: Assault Horizon Legacy +,,,T,,,,2/5/2015,Access Games,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$19.99 ,12/31/2019,Sealed In Case,Amazon,7.23E+11,1427894,1/26/2020 20:50,Collection
Wii,,Bandai,,Active Life: Magical Carnival,,,E,,,,1/1/2011,Bandai Namco Games,2,United States,Motion Sensing Remote,DVD,No,,Snap Case,No,1,$5.99 ,$5.99 ,8/5/2013,,,7.23E+11,1302645,1/3/2019 15:07,Collection
DS,"Deuxième du nom sur DS, Advance Wars : Dark Conflict replonge dans son univers si particulier. Ce jeu tactique propose plus de 60 missions solos, et notamment un mode histoire où de nouvelles stratégies sont mises en place pour défaire l’ennemi. Un mode online est également disponible, où l’on peut notamment partager ses propres créations avec ses amis.
",Nintendo,No,Advance Wars: Days of Ruin,,,,Strategy,,8.6,1/21/2008,Intelligent Systems,4,United States,Handheld Console,Cartridge,No,0,Snap Case,No,1,,$0.00 ,12/8/2011,Complete In Case,???,45496739447,957413,1/3/2019 18:47,Collection
DS,"Tercera entrega de la saga Advance Wars, franquicia referente en lo que se refiere a estrategia por turnos en videoconsola.",Nintendo,No,Advance Wars: Dual Strike,,,E,Strategy,,9,8/22/2005,Intelligent Systems,8,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$0.00 ,$0.00 ,12/8/2011,Complete In Case,???,45496735869,959099,1/3/2019 20:17,Collection
Super NES,,Capcom,No,Advanced Dungeons & Dragons: Eye of the Beholder,,,G,Role Playing Game,,,12/6/1994,Westwood Studios,1,United States,Controller Game Pad,Cartridge,No,1,Cardboard Box,No,1,,,,,,1000399,1475961,1/3/2019 15:06,Collection
Xbox,"Advent Rising is a third-person, science fiction action-adventure video game. It was developed by GlyphX Games and published by Majesco. The game was released on May 31, 2005 for Xbox and on August 9, 2005 for Microsoft Windows. The story of this game was created by Donald Mustard, and featured a script written by science fiction writers Orson Scott Card and Cameron Dayton. The full orchestral soundtrack was done by Tommy Tallarico. As of September 14, 2006, Steam began offering Advent Rising for download as well as other games by Majesco. (Advent Rising on Steam) At release on Steam, it cost $14.95 USD.

Advent Rising was the first in a planned trilogy which also saw the development of a game that would take place alongside Advent Rising, called Advent Shadow for the PSP. However, the game’s retail performance fell short of expectations. By the end of 2005, Majesco Entertainment had completely revised its business plan to focus towards handheld games and canceled plans for future Advent Rising games.",Majesco Entertainment,No,Advent Rising,,,T,"Action, Adventure",,7.8,5/31/2005,Glyphx,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$5.00 ,$5.00 ,3/22/2013,,,96427012894,991394,1/3/2019 15:06,Collection
3DS,New,D3 Publisher,Yes,Adventure Time: Explore The Dungeon Because I Don’t Know Collector’s Edition,,,E10+,Action,,,11/19/2013,Way Forward Technologies,4,United States,Handheld Console,Cartridge,Yes,,Box Set,No,1,$39.99 ,$39.99 ,11/19/2013,Sealed In Box,???,8.79E+11,1345896,1/3/2019 15:07,Collection
3DS,,Little Orbit,No,Adventure Time: Finn & Jake Investigations,,,E10+,"Action, Adventure, Role Playing Game",,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$8.00 ,1/1/2020,Complete In Case,"eBay
Includes stickers",8.15E+11,1479867,1/26/2020 20:08,Collection
3DS,,Little Orbit,No,Adventure Time: Finn and Jake Investigations,,,E,Adventure,,,12/31/1969,Vicious Cycle Inc.,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.91 ,12/28/2019,Sealed In Case,Amazon,8.15E+11,1468696,1/26/2020 20:05,Collection
DS,"Nintendo DS
Nintendo 3DS",D3 Publisher,No,Adventure Time: Hey Ice King! Why Did You Steal Our Garbage?!,,,E10+,"Adventure, Platform",,,12/31/1969,Wayforward,1,Canada,Handheld Console,Cartridge,Yes,,Steelbook,No,1,,$35.00 ,4/18/2020,Sealed In Case,eBay,8.79E+11,1253220,4/25/2020 23:07,Collection
3DS,,D3Publisher,No,Adventure Time: Hey Ice King...,,,E,"Action, Adventure",,8.5,11/20/2012,WayForward Technologies,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$9.50 ,1/5/2020,Complete In Case,eBay,8.79E+11,1476373,1/26/2020 18:47,Collection
3DS,,,No,Adventure Time: The Secret Of The Nameless Kingdom,,,E10+,,,,12/31/1969,,,United States,,Cartridge,,,Snap Case,No,1,,$18.99 ,1/2/2020,Sealed In Case,"eBay
Game loose inside case",8.15E+11,1382341,1/26/2020 20:54,Collection
Sega Genesis,"You play as Aero, a red bat who lives and works in a circus. He must defend the circus from an evil ex-clown",SunSoft,,Aero The Acrobat,,,E,Platform,,6.6,10/1/1993,Iguana Entertainment,1,Canada,Controller Game Pad,Cartridge,,0,Thick Snap Case,No,1,,,,,,20763113069,1462969,1/3/2019 15:06,Collection
Xbox 360,"In this video game adaptation of the already popular anime. You can now control the emotionless Afro Samurai as he kills various cyborgs, assassins, and ninjas to become Number 1.",Namco Bandai,No,Afro Samurai,,,M,Action,,6.6,1/27/2009,SURGE,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$6.29 ,$6.29 ,5/19/2013,,,7.23E+11,894334,1/3/2019 15:06,Collection
Sega Genesis,Complete in Box,Sega,No,After Burner II,,,E,Action,,8,3/22/1990,Sega,1,United States,Controller Game Pad,Cartridge,No,,Snap Case,No,1,,$26.99 ,12/29/2019,Used,GameStop - Walzem,8.87E+11,1533364,2/28/2020 15:55,Collection
DS,"The story begins 19 years ago when an unsolved series of murders shook up the town of Clockford. At the crime scenes, detectives find a crucial piece of evidence linking the crimes together- a torn piece of dollar bill showing the Eye of Providence. In present day, another string of murders have started again with the same piece of evidence, convincing detectives to reopen the case.",Tecmo Koei,,Again,,,T,Adventure,,4.5,3/30/2010,Cing,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$4.49 ,$4.49 ,4/22/2012,Complete In Case,???,18946010601,1427848,1/3/2019 20:17,Collection
DS,,Dreamcatcher,No,Agatha Christie: The ABC Murders,,,T,Puzzle,,6,12/31/1969,Black Lantern Studios,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$9.99 ,$9.99 ,4/21/2012,Complete In Case,GameStop,6.26E+11,1228504,1/3/2019 15:07,Collection
DS,,THQ,No,Age of Empires: Mythologies,,,E10+,Strategy,,8.6,12/31/2000,Griptonite Games,4,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$17.49 ,3/6/2020,Used,"Complete in Case
eBay",7.85E+11,937013,3/21/2020 21:46,Collection
DS,Complete,Microsoft Game Studios,,Age of Empires: The Age Of Kings,,,E10+,Real Time Strategy,,8.2,2/14/2006,Ensemble Studios,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$8.99 ,$8.99 ,4/4/2012,Complete In Case,eBay,96427013938,1571974,1/3/2019 20:16,Collection
DS,,Majesco Games,,Air Traffic Chaos,,,E,Simulation,,,9/9/2008,Sonic Powered,8,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$9.00 ,$9.00 ,12/10/2011,Complete In Case,???,96427015420,1054849,1/3/2019 15:07,Collection
Xbox 360,£24,Rising Star Games,No,Akai Katana,,,T,Side Scrolling,,7,5/15/2012,CAVE,2,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$13.49 ,$13.49 ,3/1/2013,,,8.87E+11,1132958,1/3/2019 15:06,Collection
Sega Genesis,,Accolade,,Al Michael Announces HardBall III,,,E,Sports,,,12/31/1969,MindSpan,2,United States,Controller Game Pad,Cartridge,,0,Box Set,No,1,,,,,,15605032080,1199586,1/3/2019 15:06,Collection
Xbox 360,Complete,Microsoft Game Studios,No,Alan Wake : Limited Collectors Edition,,,T,"Adventure, Horror",,9,5/14/2010,Remedy Entertainment,1,United States,Controller Game Pad,DVD,Yes,3,Box Set,No,1,$29.99 ,$29.99 ,6/8/2013,,,6.22E+12,1127524,1/3/2019 15:06,Collection
DS,,Nintendo,No,Alex Rider: Stormbreaker,,,T,Action,,,12/31/1969,THQ,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.00 ,11/26/2019,Complete In Case,Game Over - 410,7.85E+11,1179827,2/1/2020 14:35,Collection
DS,"This psychedelic puzzle-laden action adventure displays plenty of promise, but repetitive combat ensures that it falls well short of its potential.",Disney Interactive Studios,No,Alice In Wonderland,,,E10+,"Adventure, Platform",,8,3/2/2010,Etranges Libellules,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,1/4/2020,Used,"Complete in Case
eBay",7.13E+11,1025323,2/1/2020 17:25,Collection
3DS,,GMG PLAY,No,Alien Chaos 3D,,,E10+,"Action, Platform",,,9/25/2012,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$8.00 ,9/3/2020,Complete In Case,eBay,8.57E+11,1305942,9/14/2020 18:32,Collection
Sega Master System,They’ve come from beyond the galaxy and taken your friends hostage. You’re an Earth Command Trooper. You’re going to get them back!,Sega,No,Alien Syndrome,,,Family Friendly,"Action, Top Down Shooter",,,12/6/1988,Sega,1,United States,Controller Game Pad,Cartridge,No,1,Thick Snap Case,No,1,$3.00 ,$3.00 ,4/15/2012,,,10086070064,950460,1/3/2019 15:06,Collection
Wii,They’ve come from beyond the galaxy and taken your friends hostage. You’re an Earth Command Trooper. You’re going to get them back!,Sega,Yes,Alien Syndrome,,,T,"Action, Side Scrolling, Top Down Shooter",,5.5,7/24/2007,Totally Games,4,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$2.69 ,$2.69 ,5/31/2013,,,10086650044,950461,1/3/2019 15:06,Collection
DS,,Playlogic,No,Aliens in the Attic,,,E10+,Adventure,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,,1,,$8.97 ,3/10/2021,Complete In Case,Lukie Games,8.14E+11,1045945,6/5/2021 18:33,Collection
DS,"YEAR: 2179 (After Aug.)
(After Alien3)
(USS Sulaco, LV-426, The Nostromo, Research facility station on planet Phobos)",Sega,No,Aliens: Infestation,,,T,"Action, Adventure",,8,10/11/2011,Gearbox Software,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$22.49 ,12/4/2011,Complete In Case,???,10086670219,1179249,1/3/2019 18:47,Collection
DS,,Play THQ,No,All-Star Cheer Squad,,,E,Action,,,11/24/2008,Play THQ,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,12/30/2019,Missing Health/Safety Booklet,Game Over - I-35,7.85E+11,1341167,1/30/2020 20:59,Collection
3DS,,Atlus,No,"Alliance Alive - Launch Edition, The",,,E10+,Role Playing Game,,,3/27/2018,Cattle Call,1,United States,Handheld Console,Cartridge,Yes,1,Box Set,No,1,$29.22 ,$29.22 ,3/27/2018,Sealed In Box,???,7.31E+11,1546758,1/3/2019 21:51,Collection
Xbox 360,Complet,Atari,,Alone in the Dark,,,M,Horror,,3.5,6/23/2008,Atari,1,Australia,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$4.49 ,$4.49 ,2/24/2013,,,7.43E+11,1221754,1/3/2019 21:32,Collection
DS,,Storm City Games,,Alpha And Omega,,,E,Adventure,,,,,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$0.00 ,$0.00 ,12/28/2011,Complete In Case,???,8.14E+11,1396132,1/3/2019 15:07,Collection
Xbox 360,Complete,Sega,No,Alpha Protocol: The Espionage RPG,,,M,Role Playing Game,,6.3,6/1/2010,Obsidian Entertainment,1,United States,Controller Game Pad,DVD,No,1,Colored Snap Case,No,1,$4.49 ,$4.49 ,3/2/2013,,,10086680287,996815,1/3/2019 15:06,Collection
Sega Genesis,Cart only,Sega,No,Altered Beast,,,,"Action, Adventure",,5,9/22/2010,Sega,2,United States,Controller Game Pad,Cartridge,No,0,Thick Snap Case,No,1,,,,,,10086011005,932566,1/3/2019 15:05,Collection
DS,,Brash Entertainment,No,Alvin And The Chipmunks,,,E,Music,,4.5,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,,1,,$3.47 ,3/10/2021,Used,"Complete in Case
Lukie Games",8.90E+11,948890,6/5/2021 18:32,Collection
DS,,,No,Alvin And The Chipmunks Chip-wrecked,,,E10+,,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$6.95 ,1/1/2020,Used,"Complete in Case
eBay",96427017530,1186333,2/1/2020 15:44,Collection
DS,,Majesco Entertainment,No,Alvin And The Chipmunks The Squeakquel,,,,"Adventure, Music",,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.11 ,1/1/2020,Sealed In Case - Possible Reseal,eBay,96427016359,1014254,1/20/2020 23:43,Collection
DS,"Amazing Adventures: The Forgotten Ruins transports players to an archeological dig, where they discover clues and follow a character-filled storyline that will lead them to a long-lost Mayan ruin. The game features 18 missions and 9 DS-only locations through which players are challenged to ”find” over 90 hidden objects per scene. Players can also unlock additional gameplay modes by locating bonus items such as Jade Masks and Mayan Glyphs. The game includes four mini-games featuring unique stylus-based controls and high score leaderboards, an interactive journal and bonus content.",PopCap Games,,Amazing Adventures: The Forgotten Ruins,,,E,Adventure,,,11/11/2008,Black Latern Studios,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$4.49 ,$4.49 ,7/30/2012,Used,"Complete in Case
GameStop",8.99E+11,980112,9/14/2020 15:50,Collection
3DS,Play as The Amazing Spider-man in this newest free roam installment and uncover the original epilogue to the film.,Activision,Yes,"Amazing Spider-Man, The",,,T,Action,,57,6/12/2006,Other Ocean,1,United States,Handheld Console,Cartridge,No,,Slip Sleeve,No,1,,$12.50 ,1/5/2020,Sealed In Case - Resealed,eBay,47875843530,1009581,1/20/2020 17:23,Collection
DS,,THQ,,American Girl: Julie Finds A Way,,,E,Compilation,,,12/31/1969,,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$4.49 ,$4.49 ,7/22/2012,,,7.85E+11,1542809,2/2/2020 16:32,Collection
DS,,THQ,No,American Girl: Kit Mystery Challenge!,,,E,,,,12/31/1969,American Girl,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.99 ,1/5/2020,Complete In Case,HPB - Huebner,7.85E+11,1542811,5/24/2020 15:35,Collection
3DS,,Maximum Games,Yes,American Mensa Academy,,,,"Educational, Strategy, Trivia",,,11/13/2012,Silverball Studios Limited,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$6.29 ,$6.29 ,3/3/2015,Complete In Case,GameStop - Stone Oak,8.14E+11,1279176,1/3/2019 15:07,Collection
DS,,Conspiracy Entertainment,No,Americas Next Top Model,,,E10+,"Adult, Simulation",,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.22 ,3/1/2020,Complete In Case - Artwork Damaged,eBay,8.15E+11,1048065,3/21/2020 21:41,Collection
DS,,Nintendo,,America’s Test Kitchen: Lets Get Cooking,,,E,Simulation,,,12/31/1969,Criware,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$0.99 ,$0.99 ,3/8/2013,Sealed In Case,GameStop,44406740764,1376627,1/3/2019 18:17,Collection
3DS,Angry Birds with a Star Wars theme.,"Activision Publishing, Inc",Yes,Angry Birds Star Wars,,,E,Puzzle,,,10/29/2013,Activision,4-Feb,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$7.21 ,8/13/2015,Sealed In Case,Best Buy Online,47875767904,1272898,1/3/2019 22:09,Collection
3DS,,Activision Blizzard,Yes,Angry Birds Trilogy,,,E,Action,,7,9/12/2025,Rovio,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$9.45 ,$9.45 ,12/24/2018,Complete In Case,GameStop - Mercari,47875767294,1571857,1/3/2019 21:49,Collection
DS,,Destineer,,Animal Boxing,,,,Fighting,,,12/31/1969,Gammick,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$5.00 ,$5.00 ,2/2/2015,Complete In Case,eBay,8.28E+11,995787,1/3/2019 15:07,Collection
3DS,,Nintendo,Yes,Animal Crossing: Happy Home Designer,,,E,"Role Playing Game, Simulation",,8,9/25/2015,Nintendo,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,,,Sealed In Case,???,45496743284,1449082,1/3/2019 21:49,Collection
3DS,"Animal Crossing: New Leaf is a life-simulation video game for the Nintendo 3DS console and the fourth main title in Nintendo’s Animal Crossing series, where the player takes control of the mayor instead of a normal villager. The game was first released on November 8, 2012 in Japan and was later released in North America, Europe, and Australia in June 2013. The game has received very positive reviews, gaining aggregate scores of 88 and 87.30% on Metacritic and GameRankings, so far making it the highest rated game in the Animal Crossing series.",Nintendo,Yes,Animal Crossing: New Leaf,,,E,"Adventure, Simulation",,9.6,6/9/2013,Nintendo,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$34.99 ,$34.99 ,6/9/2013,Complete In Case,GameStop - Arbor Park,45496742393,1271399,1/3/2019 21:49,Collection
DS,"Players move into a living, breathing world inside the Nintendo DS... and then invite their friends to visit from anywhere on earth. In Animal Crossing: Wild World, the sequel to the popular Nintendo GameCube game, players and up to three friends can hang out in the same village and interact in real time -- either through wireless LAN or over Nintendo Wi-Fi Connection. Players can visit a friend’s village from thousands of miles away. The touch screen makes item management and world navigation a breeze. Typing letters and designing patterns are now just stylus strokes away. Days and seasons pass in real time, so whether players want to decorate their homes, catch bugs or fish, collect brand-new items like hats and sunglasses or just chat with the wild and wacky characters in their villages, there’s always something to do.",Nintendo,No,Animal Crossing: Wild World,,,E,"Role Playing Game, Simulation",,8.8,12/5/2005,Nintendo,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$0.00 ,$0.00 ,12/11/2011,Complete In Case,GameStop - ???,45496735920,900739,1/3/2019 20:17,Collection
DS,,,,Animal Genius,,,E,"Educational, Trivia",,,12/31/1969,,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$0.00 ,$0.00 ,4/4/2012,Complete In Case,GameStop - ???,47875754133,1048539,1/3/2019 15:07,Collection
DS,Animal Paradise takes place on a virtual farm where you will be tasked with becoming best friends with all the animals throughout the game.,Empire Interactive,No,Animal Paradise,,,E,,,,9/23/2008,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.97 ,2/23/2020,Used,"Complete in Case
Lukie Games",7.45E+11,1245999,2/15/2020 21:52,Collection
DS,,Zoo,No,Animal Paradise Wild,,,E,Simulation,,,12/31/1969,,1,Canada,Handheld Console,Cartridge,,,Snap Case,,1,,$18.00 ,3/6/2021,Sealed In Case,eBay,8.02E+11,1399399,6/5/2021 16:49,Collection
