,PC_ID,title,loose_price,cib_price,new_price,image_link
16,19482,Active Life: Extreme Challenge,6.62,7.95,21.19,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94HMzIMz1V-_mbAa6ey_QSiLkomIZKmQWj9aPa_0zdc3DMafNEze_ql6tHykF58H-0FvQJnJXADgnTVbC85TuE2xrbYP_2WVwBXTAEcF5AawQhr73DZpMpUD1Wo15cJHpuHaap-Oa7smhQazVIFzBw1MumUWg/60.jpg
17,32210,Active Life Magical Carnival,7.00,7.43,12.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96akFxx6kjYjuwDxkToXZ7DWN44Wup4rOBA8hriL6VkvEtBFEGWsH9BnT8zBnw8jSrex0DRDj4Y_R0pGaZ7uPpVyd-2mSQH0JlIeYQv_xX6cC1k7cKvOMR15j-U7PphdMEACqujbZrUZ89lUCs9NlwmJUgpow/60.jpg
18,32211,Active Life Magical Carnival with Mat,14.23,18.50,37.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97C0vgJ6HNTjtUiKA9JmJbExDaiPt7BKczg13nXK7p1YUaSylz7AQuGapAniv3R2KAa4bz7pdbdFhaH9gRJJZ5OMokKCJsinb9LYEcY1-gKt-3kRWbuuSPJe_DurF7mZ6ohxXkgKiPKFm96D5L1hpfoIK_oWg/60.jpg
19,14651,Active Life Outdoor Challenge,6.44,7.07,19.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95SP9aEPodnQDjYGsLI1-NvtwD2Z-Bu2QCuZWKkwBnBB01DBGJJJvSXKA-wWq2SWnMCLS5R5FIDP9SN1mcq-jejg-qAh-_Mrdq47WjKEBxMTWDEl8xIqR41yK30OvqXXpniFqlXyKdwOntonOHX4XQTK-wpQg/60.jpg
20,32376,Adventures of Tintin: The Game,4.72,6.62,13.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94_BgWWtqpwvCbHujoctaoyTBM1sB1XrzwtKXvYCuhQiamfrDoYaYzMkIRufKUOApRnI-mCREvKTj_X_9iOK0gtFbginhJOYd4mbFHxx3dB3dcToHghFMBHmOW69bmpxNjH97VPzt4kALK_IHh_vEDYlaeZ4g/60.jpg
21,10343,Agatha Christie And Then There Were None,7.15,7.99,15.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96PAu3uGJCxwM8c2nb8IXMclO6CM6upL7TgVDlChWfFD2mGxrOc5zo7Bnwou-FvItHTcmc1nDk0G76Vp6hF-SUe0kjFwRDWnEpV1NAWedUUkxOce2yH-zAhEACGw0DpCB-nBjlnWyw0kiEYaCkc4PnwIWyuFQ/60.jpg
22,16031,Agatha Christie Evil Under the Sun,9.48,9.66,21.09,https://commondatastorage.googleapis.com/images.pricecharting.com/253beeb65fa7cf076c9135632f610a44db1716696524346d51cf1d9129c2dc98/60.jpg
23,3872212,AJ & Aly Guitar,,,,https://commondatastorage.googleapis.com/images.pricecharting.com/96767fa503fe234f6cbf769ecded597bdcd709c404e3ec9a07f019889b98e769/60.jpg
24,31381,Aladdin Magic Racer,16.58,19.99,31.53,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94KilVEKBQPQvS-29CseqjXE5ABJtELdjV8GNhkRtRQHiCiDFoysyBebcOFQBI_3nkLTaKUMcBAlS1H4EScWVddFlZMAYSUEDcIqxFCaK_fOSV1wOJ6gdVIyf22lV50NwAAmH53QgZpPmJGn08o1sRAlAz_aQ/60.jpg
25,21007,Alice in Wonderland: The Movie,3.37,6.32,15.91,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95_E_xtvoHkPnPkNlX8jV53wM0ILKwWKYun69NGN0aMJNlrue9lP0FAefqsLFm8mbEfYtmpS_HSBRJp-QQoZJnDSXAcx4YyRRsmeOK4cW2DeBo_2b9cVAGIiavmLO27ARE4pq4DELvDk7v831Aqa01xqA1SQg/60.jpg
26,21658,Alien Monster Bowling League,6.50,8.85,24.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96doOfLatMtIdo0UyuB4jQBnNIffPbjKaXQd707G-H-1cyhLxtm6cM04YKjeOXVYzkMBkDAV-VGaM_ICAdTM99acSmSFrBYsqMqFAQ6eoInXrUu1S39n0K56EGKN1rfyX7Ig3AjyiBs8YX7h9cT2-LlquMiaA/60.jpg
27,6783,Alien Syndrome,5.14,5.99,11.04,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95ireDZBdS549AYPtyqJ3KQf0EsfRQyUewsY8qAnPu7XUrdwvWr-UBnVHAZxze_Yt4GSVfWbD_UoI4Z4kmXYKPt82sJ7qdKliupYlWQHci8y00uAIGqGnZgQYqz6KgJOdkQWkuBrV9pgoJCBXsXDzsDuwdaIQ/60.jpg
28,21649,Aliens in the Attic,5.21,6.09,12.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96xZBKUaGq4abwxf8XU2GqnNmNt_61eyJDfhd5U19NsF9XrnZL4NHtg71XFGaQSKY79Iyg-d2qOR32GvMI42sKuoJ8YftiLGS6pzGBXXy-KyEmcFmEfo61S4x09Y5t7QE2Ea_VQRYJRXBqkIvosUZ8u3SHCaQ/60.jpg
29,15828,All-Star Cheer Squad,2.07,5.00,5.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97ttqmbJaZ_jOraxx8R3bOSitXapkK8X3Y5zUU9PZL5kZpIB6xhGTP7P591INzgoxDsRQxXK3TYFp1RqD7pEedBsrYalDm1PBTk3kjl510_ZXIWC-LysZabuioMrlPZhUbAX8w41aPcyiaO7QgdKnCY2C0QvQ/60.jpg
30,19872,All Star Cheer Squad 2,3.65,5.91,8.41,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95UnyN4mq9PwQbX5yJNIgElq8dOu8Ma8CUI_eoSS6Su7azdMEJjRvEd0S6MG066DXVG7HNkwZI4WInzeoyuLJfsLOyELsPz2D4py--92Xl-px6YfzAffGOEY9DgekO1geTgN9HSMeDczZ3Zujr3YfuBVTyVXQ/60.jpg
