,Platform,PC_ID,Merged_Title,loose_price,cib_price,new_price
80,Wii,11055.0,HARVEYBIRDMANATTORNEYATLAW,8.21,9.5,14.99
81,Wii,22142.0,HAUNTEDHOUSE,6.97,7.35,15.17
82,Wii,0.0,HELPWANTED,,,
83,Wii,0.0,HOOKEDREALMOTIONFISHING,,,
84,Wii,10548.0,INDIANAPOLIS500LEGENDS,3.83,7.49,7.74
85,Wii,31847.0,JIMMIEJOHNSONSANYTHINGWITHANENGINE,4.72,5.0,11.4
86,Wii,0.0,JUONTHEGRUDGEHAUNTEDHOUSESIMULATOR,,,
87,Wii,11870.0,KAWASAKIJETSKI,4.89,5.63,11.73
88,Wii,14113.0,KIDZSPORTSICEHOCKEY,5.09,5.68,10.18
89,Wii,13217.0,KINGOFCLUBS,3.49,5.74,8.25
90,Wii,33056.0,KIRBYSDREAMCOLLECTIONSPECIALEDITION,42.0,54.96,119.98
91,Wii,30334.0,KIRBYSEPICYARN,13.0,14.97,35.88
92,Wii,31877.0,KIRBYSRETURNTODREAMLAND,23.24,26.71,62.47
93,Wii,18739.0,KLONOA,32.17,37.03,127.14
94,Wii,7369.0,KORORINPAMARBLEMANIA,17.94,18.0,35.47
95,Wii,7372.0,LEGENDOFTHEDRAGON,5.41,6.65,8.99
96,Wii,0.0,LEGENDOFZELDASKYWARDSWORDCOLLECTORSEDITIONTHE,,,
97,Wii,21566.0,LEGOHARRYPOTTERYEARS14,4.82,5.93,12.5
98,Wii,31360.0,LETSPAINT,4.57,4.98,7.61
99,Wii,19407.0,LITTLEKINGSSTORY,24.13,24.73,36.25
100,Wii,30842.0,LOSTINSHADOW,26.57,32.99,49.5
101,Wii,15066.0,LOSTINBLUESHIPWRECKED,9.74,9.92,34.25
102,Wii,9362.0,MLBPOWERPROS,10.0,10.53,27.25
103,Wii,33007.0,MADDENNFL13,9.0,9.93,30.75
104,Wii,16397.0,MADWORLD,11.42,12.99,23.73
105,Wii,10357.0,MANHUNT2,12.53,17.99,47.7
106,Wii,16403.0,MARBLESAGAKORORINPA,11.98,11.99,21.01
107,Wii,13229.0,MARIOKARTWII,26.83,27.13,49.69
