,Platform,Merged_Title,loose_price,cib_price,new_price
88,Wii,RESIDENTEVIL4,$9.32,$9.63,$31.99
89,Wii,RESIDENTEVILTHEDARKSIDECHRONICLES,$29.99,$35.50,$66.08
90,Wii,RUNEFACTORYFRONTIER,$29.99,$30.14,$48.63
91,Wii,SNKARCADECLASSICSV1,,,
92,Wii,SAINT,$4.99,$6.18,$9.55
93,Wii,SAMMAXSEASON2BEYONDTIMESPACE,,,
94,Wii,SAMMAXSEASONONE,$12.99,$13.00,$20.37
95,Wii,SAMBADEAMIGO,$4.20,$6.75,$10.50
96,Wii,SEGASUPERSTARSTENNIS,$5.88,$6.41,$13.99
97,Wii,SENGOKUBASARASAMURAIHEROES,$14.37,$23.78,$44.99
98,Wii,SHIRENTHEWANDERER,$53.45,$68.21,$109.48
99,Wii,SILENTHILLSHATTEREDMEMORIES,$75.00,$76.00,$145.86
100,Wii,SINPUNISHMENTSTARSUCCESSOR,$26.42,$30.00,$38.91
101,Wii,SMARTYPANTS,,,
102,Wii,SONICTHEBLACKKNIGHT,$10.48,$10.90,$29.35
103,Wii,SONICUNLEASHED,$10.38,$10.93,$27.37
104,Wii,SONICTHESECRETRINGS,$7.72,$8.06,$16.58
105,Wii,SPACECAMP,$3.26,$5.15,$12.96
106,Wii,SPRAY,$3.86,$6.92,$11.54
107,Wii,SPYGAMESELEVATORMISSION,$4.79,$4.95,$6.56
108,Wii,SPYBORGS,$10.00,$11.79,$21.65
109,Wii,SUPERMARIOALLSTARSLIMITEDEDITION,$31.10,$33.09,$53.10
110,Wii,SUPERMARIOGALAXY,$13.19,$13.41,$43.99
111,Wii,SUPERMARIOGALAXY2,$22.99,$24.40,$52.55
112,Wii,SUPERPAPERMARIO,$14.63,$15.50,$55.51
113,Wii,SUPERSMASHBROSBRAWL,$13.79,$17.93,$47.99
114,Wii,SWORDS,$7.94,$8.49,$14.30
115,Wii,TALESOFSYMPHONIADAWNOFTHENEWWORLD,$11.45,$12.12,$38.42
116,Wii,TENCHUSHADOWASSASSINS,$6.75,$8.07,$21.82
117,Wii,THECONDUIT,$9.08,$10.74,$19.68
118,Wii,THEHOUSEOFTHEDEAD23RETURN,$19.18,$19.51,$48.69
119,Wii,THEHOUSEOFTHEDEADOVERKILL,$21.07,$21.50,$39.85
120,Wii,THEKOREGANG,$17.20,$18.50,$35.07
121,Wii,THELASTSTORY,$48.49,$59.40,$87.75
122,Wii,THELEGENDOFZELDATWILIGHTPRINCESS,,,
123,Wii,TRAUMACENTERSECONDOPINION,$7.69,$11.06,$31.50
124,Wii,VALHALLAKNIGHTSELDARSAGA,$16.17,$16.56,$31.47
125,Wii,WARIOLANDSHAKEIT,$19.39,$19.99,$59.05
126,Wii,WESKI,$4.95,$5.99,$8.87
127,Wii,WORDJONGPARTY,$4.90,$5.53,$7.56
128,Wii,XENOBLADECHRONICLES,$24.67,$24.99,$60.00
129,Wii,ZACKWIKIQUESTFORBARBAROSTREASURE,$12.26,$14.54,$34.99
