"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"DS","An international conspiracy has placed the UK’s most secretive bio-chemical project into deadly hands, and only Her Majesty’s most lethal agent, James Bond, can unravel the mystery. To navigate through layers of corruption, you, as Bond, will embark on a global chase that will have you battling on land, sea and air through Athens, Istanbul, Monaco, and Bangkok. Nothing is what it seems as each adventure reveals a deeper and more sinister conspiracy. A mix of third-person gunplay, hand-to-hand combat and the driving action, James Bond 007: Blood Stone features Daniel Craig, Judi Dench and Joss Stone. The game features various modes and multiplayer mode for up to 16 people. Engage in precise cover-based gameplay and tactical firefights, and speed your way through explosive, adrenalin-fueled driving sequences. Become Bond as he engages in intense hand-to-hand combat and uses his environment to finish off enemies.","Activision","No","007: Blood Stone","","","T","Third Person Shooter","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$9.47","2021-06-07","Complete In Case","Lukie Games","047875837270","1147616","2021-06-11 16:28:17",Collection
"DS","James Bond is back to settle the score in Quantum of Solace: The Game. Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions.
Seamlessly blending the heart-pounding action and excitement of the upcoming Quantum of Solace feature film with the Casino Royale movie, the title propels players into the cinematic experience of international espionage. Based on the renowned Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, Quantum of Solace: The Game delivers superior high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films.","Activision","","007: Quantum Of Solace","","","T","First Person Shooter","","6.8","2008-11-04","Vicarious Visions","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$5.39","$5.39","2011-12-07","Complete In Case","???","047875832756","960421","2019-01-03 20:16:45",Collection
"DS","","DSI Games","No","1 Vs 100","","","E","Trivia","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$3.33","2020-01-19","Complete In Case","eBay","802068101558","1046256","2020-01-23 22:47:22",Collection
"DS","Play classic games.","Ubisoft","No","100 All-Time Favorites","","","E","Board","","","2009-10-27","Ubisoft","2","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2020-01-02","Used","Complete in Case
eBay","008888165675","1205319","2020-02-01 15:40:28",Collection
"DS","","Nintendo","No","100 Classic Books","","","E","Educational","","0.0","2010-06-14","Nintendo","1","United States","Handheld Console","Cartridge","","0","Snap Case","1","","$4.49","2019-12-31","Complete In Case","GameStop - Judson Market","045496740962","1162305","2020-02-01 21:01:24",Collection
"DS","","Maximum Family Games","No","1001 Touch Games","","","E","Compilation","","","2000-12-31","Avanquest Software","4","United States","Handheld Console","Cartridge","","","Snap Case","1","","$12.18","2019-12-09","Used","Complete in Case
eBay","814290011390","1183677","2020-02-01 16:33:42",Collection
"DS","","Atlus","","101 In 1 Sports Megamix","","","E10+","Sports, Compilation","","","1969-12-31","Atlus","2","United States","Handheld Console","Cartridge","No","","Snap Case","1","$20.00","$20.00","2012-08-08","Sealed In Case","Toys R Us","730865400362","1043405","2019-01-03 15:07:37",Collection
"Wii","Download","Atlus","","101 In 1: Party Megamix","","","E10+","Compilation","","","1969-12-31","Atlus","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$5.99","$5.99","2013-08-05","","","730865700066","925715","2019-01-03 15:07:00",Collection
"DS","101 addictive games! Arcade, sports, puzzles, Suduko, and more!","Atlus","","101 in 1 Explosive Megamix","","","E","Platform","","2.5","2009-04-21","Atlus","2","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","$13.49","2011-12-23","Complete In Case","???","730865400300","972094","2019-01-03 20:16:56",Collection
"Nintendo 64","Complete.","Nintendo","No","1080 Snowboarding","","","","Racing, Sports","","8.6","1998-11-30","Nintendo","2","Canada","Controller Game Pad","Cartridge","No","0","Cardboard Box","1","","","","","","045496870249","984618","2019-01-03 15:06:17",Collection
"DS","","Destineer","No","18 Classic Card Games","","","T","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.99","2020-01-05","Complete In Case","eBay","828068213398","1334210","2020-01-20 15:28:47",Collection
"DS","50 classic games","Adventure Soft","No","50 Classic Games","","","E","Board, Compilation","","5","","Destineer","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2019-12-30","Complete In Case","Game Over - 410","828068212810","963551","2020-01-21 22:25:33",Collection
"DS","","Destineer","No","50 More Classic Games","","","E","Compilation","","","1969-12-31","","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.77","2020-01-24","Used","Complete in Case
eBay","828068213374","1175285","2020-02-03 19:15:13",Collection
"Sega Genesis","Goldenaxe, Sonic The Hedgehog, Columns, Revenge Of Shinobi, Streets Of Rage, Super Hang-On
cib","Sega","No","6-Pak","","","E","Action, Fantasy, Fighting, Hack n’ Slash, Platform, Puzzle, Racing, Sports, Compilation","","8.0","1995-01-01","Sega","2","United States","Controller Game Pad","Cartridge","No","0","Thick Snap Case","1","","","","","","010086017175","1065297","2019-01-03 15:06:06",Collection
"DS","","Mumbo Jumbo","","7 Wonders II","","","E","Puzzle","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$16.19","$16.19","","Complete In Case","???","811930106218","1064251","2019-01-03 15:07:37",Collection
"DS","","Mumbo Jumbo","No","7 Wonders of the Ancient World","","","E","Puzzle","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$9.47","2020-02-16","Complete In Case","Lukie Games","811930103439","930853","2020-02-23 20:02:50",Collection
"DS","","Mumbo Jumbo","No","7 Wonders: Treasures of Seven","","","E","Puzzle","","","1969-12-31","","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.99","2020-05-02","Sealed In Case","eBay","811930107987","1207861","2020-05-09 21:20:15",Collection
"3DS","","Sega","Yes","7th Dragon III Code: VFD (Launch Edition)","","","T","Role Playing Game","","","2016-07-12","Criware","1","United States","Handheld Console","Cartridge","Yes","0","Box Set","1","","$34.63","2016-07-12","Sealed In Box","Best Buy","010086611212","1504265","2019-01-11 19:38:06",Collection
"Wii","Feed the blob jellybeans to advance.","Majesco Entertainment","No","A Boy And His Blob","","","E","Platform, Puzzle","","7.6","2009-10-09","Wayforward","1","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$6.29","$6.29","2013-03-23","","","096427016120","1340739","2019-01-03 15:06:43",Collection
"DS","","NIS America","No","A Witch’s Tale","","","E10+","Role Playing Game","","","2009-10-13","Hit Maker","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","","2015-01-26","Used","Complete in Case
eBay","857823001376","1217798","2019-01-03 17:58:07",Collection
"Wii","","Mad Duck Productions","No","AMF Bowling Pinbusters!","","","E","Sports","","2.0","2007-11-20","Atomic Planet Entertainment","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$4.00","$4.00","2018-06-04","Complete In Case","GameStop - University Heights","093155126503","1167216","2019-01-03 15:07:16",Collection
"DS","","Vir2L Studios","No","AMF Bowling Pinbusters!","","","E","Sports","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$11.55","2020-01-06","Complete In Case","eBay","093155127609","1167217","2020-01-20 15:23:51",Collection
"DS","","Majesco","No","ATV Quad Frenzy","","","E","Racing","","4.8","2005-11-22","Skyworks Interactive","4","United States","Handheld Console","Cartridge","No","0","Snap Case","1","","$11.69","2012-04-22","Complete In Case","???","096427014133","1228636","2019-01-03 18:47:55",Collection
"DS","","Storm City Games","No","ATV Quad Kings","","","E","Racing, Simulation","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.00","2019-11-26","Complete In Case","Game Over - 410","814157010085","1385457","2020-02-01 14:48:15",Collection
"DS","","DSI Games","No","ATV Thunder Ridge Riders / Monster Trucks Mayhem","","","E","Racing","","","2007-08-09","","1-2","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2019-12-30","Complete In Case","Game Over - I-35","802068101084","1382233","2020-01-22 21:43:56",Collection
"DS","","Destineer","No","ATV: Wild Ride","","","E","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.00","2020-02-23","Used","Complete in Case
eBay","828068213237","1509687","2020-10-03 20:47:52",Collection
"DS","","Capcom","No","Ace Attorney: Apollo Justice","","","T","Adventure","","8.3","2008-02-19","Capcom","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$13.00","$13.00","2011-07-17","Complete In Case","???","013388320127","1000365","2019-01-03 21:07:10",Collection
"DS","","Capcom","No","Ace Attorney: Miles Edgeworth: Investigations","","","T","Puzzle","","7.6","2010-02-16","Capcom","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","$10.80","2014-07-20","Complete In Case","GameStop - Arbor Park","013388320189","1269463","2019-01-03 17:54:26",Collection
"3DS","","Namco Bandai Games","No","Ace Combat: Assault Horizon Legacy +","","","T","","","","2015-02-05","Access Games","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$19.99","2019-12-31","Sealed In Case","Amazon","722674700672","1427894","2020-01-26 20:50:55",Collection
"Wii","Mat needed","Namco Bandai","No","Active Life: Extreme Challenge","","","E","Sports, Compilation","","","2009-08-11","","4","United States","Foot Pad","DVD","","","Snap Case","1","","","","Complete In Case","","722674800211","990466","2023-09-30 14:44:17",Collection
"Wii","","Bandai","","Active Life: Magical Carnival","","","E","","","","2011-01-01","Bandai Namco Games","2","United States","Motion Sensing Remote","DVD","No","","Snap Case","1","$5.99","$5.99","2013-08-05","","","722674800334","1302645","2019-01-03 15:07:00",Collection
"Wii","","Namco Bandai","No","Active Life: Outdoor Challenge","","","E","Sports","","6.8","2008-09-09","h.a.n.d.","2","United States","Foot Pad","CD ROM","","1","Snap Case","1","","","","Complete In Case","","722674800129","1368704","2023-09-30 14:05:38",Collection
"DS","Deuxième du nom sur DS, Advance Wars : Dark Conflict replonge dans son univers si particulier. Ce jeu tactique propose plus de 60 missions solos, et notamment un mode histoire où de nouvelles stratégies sont mises en place pour défaire l’ennemi. Un mode online est également disponible, où l’on peut notamment partager ses propres créations avec ses amis.
","Nintendo","No","Advance Wars: Days of Ruin","","","","Strategy","","8.6","2008-01-21","Intelligent Systems","4","United States","Handheld Console","Cartridge","No","0","Snap Case","1","","$0.00","2011-12-08","Complete In Case","???","045496739447","957413","2019-01-03 18:47:07",Collection
"DS","Tercera entrega de la saga Advance Wars, franquicia referente en lo que se refiere a estrategia por turnos en videoconsola.","Nintendo","No","Advance Wars: Dual Strike","","","E","Strategy","","9.0","2005-08-22","Intelligent Systems","8","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$0.00","$0.00","2011-12-08","Complete In Case","???","045496735869","959099","2019-01-03 20:17:04",Collection
"Super NES","","Capcom","No","Advanced Dungeons & Dragons: Eye of the Beholder","","","G","Role Playing Game","","","1994-12-06","Westwood Studios","1","United States","Controller Game Pad","Cartridge","No","1","Cardboard Box","1","","","","","","01000399","1475961","2019-01-03 15:06:13",Collection
"Xbox","Advent Rising is a third-person, science fiction action-adventure video game. It was developed by GlyphX Games and published by Majesco. The game was released on May 31, 2005 for Xbox and on August 9, 2005 for Microsoft Windows. The story of this game was created by Donald Mustard, and featured a script written by science fiction writers Orson Scott Card and Cameron Dayton. The full orchestral soundtrack was done by Tommy Tallarico. As of September 14, 2006, Steam began offering Advent Rising for download as well as other games by Majesco. (Advent Rising on Steam) At release on Steam, it cost $14.95 USD.

Advent Rising was the first in a planned trilogy which also saw the development of a game that would take place alongside Advent Rising, called Advent Shadow for the PSP. However, the game’s retail performance fell short of expectations. By the end of 2005, Majesco Entertainment had completely revised its business plan to focus towards handheld games and canceled plans for future Advent Rising games.","Majesco Entertainment","No","Advent Rising","","","T","Action, Adventure","","7.8","2005-05-31","Glyphx","1","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$5.00","$5.00","2013-03-22","","","096427012894","991394","2019-01-03 15:06:44",Collection
"3DS","New","D3 Publisher","Yes","Adventure Time: Explore The Dungeon Because I Don’t Know Collector’s Edition","","","E10+","Action","","","2013-11-19","Way Forward Technologies","4","United States","Handheld Console","Cartridge","Yes","","Box Set","1","$39.99","$39.99","2013-11-19","Sealed In Box","???","879278006225","1345896","2019-01-03 15:07:11",Collection
"3DS","","Little Orbit","No","Adventure Time: Finn & Jake Investigations","","","E10+","Action, Adventure, Role Playing Game","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$8.00","2020-01-01","Complete In Case","eBay
Includes stickers","815403010866","1479867","2020-01-26 20:08:13",Collection
"3DS","","Little Orbit","No","Adventure Time: Finn and Jake Investigations","","","E","Adventure","","","1969-12-31","Vicious Cycle Inc.","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.91","2019-12-28","Sealed In Case","Amazon","815403010675","1468696","2020-01-26 20:05:49",Collection
"DS","Nintendo DS
Nintendo 3DS","D3 Publisher","No","Adventure Time: Hey Ice King! Why Did You Steal Our Garbage?!","","","E10+","Adventure, Platform","","","1969-12-31","Wayforward","1","Canada","Handheld Console","Cartridge","Yes","","Steelbook","1","","$35.00","2020-04-18","Sealed In Case","eBay","879278329379","1253220","2020-04-25 23:07:46",Collection
"3DS","","D3Publisher","No","Adventure Time: Hey Ice King...","","","E","Action, Adventure","","8.5","2012-11-20","WayForward Technologies","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$9.50","2020-01-05","Complete In Case","eBay","879278006089","1476373","2020-01-26 18:47:34",Collection
"3DS","","","No","Adventure Time: The Secret Of The Nameless Kingdom","","","E10+","","","","1969-12-31","","","United States","","Cartridge","","","Snap Case","1","","$18.99","2020-01-02","Sealed In Case","eBay
Game loose inside case","815403010507","1382341","2020-01-26 20:54:23",Collection
"Sega Genesis","You play as Aero, a red bat who lives and works in a circus. He must defend the circus from an evil ex-clown","SunSoft","","Aero The Acrobat","","","E","Platform","","6.6","1993-10-01","Iguana Entertainment","1","Canada","Controller Game Pad","Cartridge","","0","Thick Snap Case","1","","","","","","020763113069","1462969","2019-01-03 15:06:06",Collection
"Xbox 360","In this video game adaptation of the already popular anime. You can now control the emotionless Afro Samurai as he kills various cyborgs, assassins, and ninjas to become Number 1.","Namco Bandai","No","Afro Samurai","","","M","Action","","6.6","2009-01-27","SURGE","1","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$6.29","$6.29","2013-05-19","","","722674210157","894334","2019-01-03 15:06:46",Collection
"Sega Genesis","Complete in Box","Sega","No","After Burner II","","","E","Action","","8.0","1990-03-22","Sega","1","United States","Controller Game Pad","Cartridge","No","0","Snap Case","1","","$26.99","2019-12-29","Used","GameStop - Walzem","887195000325","1533364","2020-02-28 15:55:34",Collection
"DS","The story begins 19 years ago when an unsolved series of murders shook up the town of Clockford. At the crime scenes, detectives find a crucial piece of evidence linking the crimes together- a torn piece of dollar bill showing the Eye of Providence. In present day, another string of murders have started again with the same piece of evidence, convincing detectives to reopen the case.","Tecmo Koei","","Again","","","T","Adventure","","4.5","2010-03-30","Cing","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$4.49","$4.49","2012-04-22","Complete In Case","???","018946010601","1427848","2019-01-03 20:17:11",Collection
"DS","","Dreamcatcher","No","Agatha Christie: The ABC Murders","","","T","Puzzle","","6.0","1969-12-31","Black Lantern Studios","1","United States","Handheld Console","Cartridge","No","","Snap Case","1","$9.99","$9.99","2012-04-21","Complete In Case","GameStop","625904747914","1228504","2019-01-03 15:07:37",Collection
"DS","","THQ","No","Age of Empires: Mythologies","","","E10+","Strategy","","8.6","2000-12-31","Griptonite Games","4","United States","Handheld Console","Cartridge","","","Snap Case","1","","$17.49","2020-03-06","Used","Complete in Case
eBay","785138361666","937013","2020-03-21 21:46:44",Collection
"DS","Complete","Microsoft Game Studios","","Age of Empires: The Age Of Kings","","","E10+","Real Time Strategy","","8.2","2006-02-14","Ensemble Studios","1","United States","Handheld Console","Cartridge","No","0","Snap Case","1","$8.99","$8.99","2012-04-04","Complete In Case","eBay","096427013938","1571974","2019-01-03 20:16:17",Collection
"DS","","Majesco Games","","Air Traffic Chaos","","","E","Simulation","","","2008-09-09","Sonic Powered","8","United States","Handheld Console","Cartridge","No","","Snap Case","1","$9.00","$9.00","2011-12-10","Complete In Case","???","096427015420","1054849","2019-01-03 15:07:38",Collection
"Xbox 360","£24","Rising Star Games","No","Akai Katana","","","T","Side Scrolling","","7.0","2012-05-15","CAVE","2","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$13.49","$13.49","2013-03-01","","","887195000004","1132958","2019-01-03 15:06:42",Collection
"Sega Genesis","","Accolade","","Al Michael Announces HardBall III","","","E","Sports","","","1969-12-31","MindSpan","2","United States","Controller Game Pad","Cartridge","","0","Box Set","1","","","","","","015605032080","1199586","2019-01-03 15:06:09",Collection
"Xbox 360","Complete","Microsoft Game Studios","No","Alan Wake : Limited Collectors Edition","","","T","Adventure, Horror","","9.0","2010-05-14","Remedy Entertainment","1","United States","Controller Game Pad","DVD","Yes","3","Box Set","1","$29.99","$29.99","2013-06-08","","","6217410085280","1127524","2019-01-03 15:06:52",Collection
"DS","","Nintendo","No","Alex Rider: Stormbreaker","","","T","Action","","","1969-12-31","THQ","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.00","2019-11-26","Complete In Case","Game Over - 410","785138361147","1179827","2020-02-01 14:35:27",Collection
"DS","This psychedelic puzzle-laden action adventure displays plenty of promise, but repetitive combat ensures that it falls well short of its potential.","Disney Interactive Studios","No","Alice In Wonderland","","","E10+","Adventure, Platform","","8.0","2010-03-02","Etranges Libellules","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2020-01-04","Used","Complete in Case
eBay","712725017163","1025323","2020-02-01 17:25:25",Collection
"3DS","","GMG PLAY","No","Alien Chaos 3D","","","E10+","Action, Platform","","","2012-09-25","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$8.00","2020-09-03","Complete In Case","eBay","857398003010","1305942","2020-09-14 18:32:40",Collection
"Sega Master System","They’ve come from beyond the galaxy and taken your friends hostage. You’re an Earth Command Trooper. You’re going to get them back!","Sega","No","Alien Syndrome","","","Family Friendly","Action, Top Down Shooter","","","1988-12-06","Sega","1","United States","Controller Game Pad","Cartridge","No","1","Thick Snap Case","1","$3.00","$3.00","2012-04-15","","","010086070064","950460","2019-01-03 15:06:32",Collection
"Wii","They’ve come from beyond the galaxy and taken your friends hostage. You’re an Earth Command Trooper. You’re going to get them back!","Sega","Yes","Alien Syndrome","","","T","Action, Side Scrolling, Top Down Shooter","","5.5","2007-07-24","Totally Games","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$2.69","$2.69","2013-05-31","","","010086650044","950461","2019-01-03 15:06:51",Collection
"DS","","Playlogic","No","Aliens in the Attic","","","E10+","Adventure","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$8.97","2021-03-10","Complete In Case","Lukie Games","813582010141","1045945","2021-06-05 18:33:09",Collection
"DS","YEAR: 2179 (After Aug.)
(After Alien3)
(USS Sulaco, LV-426, The Nostromo, Research facility station on planet Phobos)","Sega","No","Aliens: Infestation","","","T","Action, Adventure","","8.0","2011-10-11","Gearbox Software","1","United States","Handheld Console","Cartridge","No","0","Snap Case","1","","$22.49","2011-12-04","Complete In Case","???","010086670219","1179249","2019-01-03 18:47:33",Collection
"DS","","Play THQ","No","All-Star Cheer Squad","","","E","Action","","","2008-11-24","Play THQ","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2019-12-30","Missing Health/Safety Booklet","Game Over - I-35","785138361673","1341167","2020-01-30 20:59:26",Collection
"3DS","","Atlus","No","Alliance Alive - Launch Edition, The","","","E10+","Role Playing Game","","","2018-03-27","Cattle Call","1","United States","Handheld Console","Cartridge","Yes","1","Box Set","1","$29.22","$29.22","2018-03-27","Sealed In Box","???","730865300280","1546758","2019-01-03 21:51:19",Collection
"Xbox 360","Complet","Atari","","Alone in the Dark","","","M","Horror","","3.5","2008-06-23","Atari","1","Australia","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$4.49","$4.49","2013-02-24","","","742725276451","1221754","2019-01-03 21:32:36",Collection
"DS","","Storm City Games","","Alpha And Omega","","","E","Adventure","","","","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$0.00","$0.00","2011-12-28","Complete In Case","???","814157010269","1396132","2019-01-03 15:07:38",Collection
"Xbox 360","Complete","Sega","No","Alpha Protocol: The Espionage RPG","","","M","Role Playing Game","","6.3","2010-06-01","Obsidian Entertainment","1","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$4.49","$4.49","2013-03-02","","","010086680287","996815","2019-01-03 15:06:41",Collection
"Sega Genesis","Cart only","Sega","No","Altered Beast","","","","Action, Adventure","","5.0","2010-09-22","Sega","2","United States","Controller Game Pad","Cartridge","No","0","Thick Snap Case","1","","","","","","010086011005","932566","2019-01-03 15:05:55",Collection
"DS","","Brash Entertainment","No","Alvin And The Chipmunks","","","E","Music","","4.5","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$3.47","2021-03-10","Used","Complete in Case
Lukie Games","890181002043","948890","2021-06-05 18:32:31",Collection
"DS","","","No","Alvin And The Chipmunks Chip-wrecked","","","E10+","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$6.95","2020-01-01","Used","Complete in Case
eBay","096427017530","1186333","2020-02-01 15:44:35",Collection
"DS","","Majesco Entertainment","No","Alvin And The Chipmunks The Squeakquel","","","","Adventure, Music","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.11","2020-01-01","Sealed In Case - Possible Reseal","eBay","096427016359","1014254","2020-01-20 23:43:05",Collection
"DS","Amazing Adventures: The Forgotten Ruins transports players to an archeological dig, where they discover clues and follow a character-filled storyline that will lead them to a long-lost Mayan ruin. The game features 18 missions and 9 DS-only locations through which players are challenged to ”find” over 90 hidden objects per scene. Players can also unlock additional gameplay modes by locating bonus items such as Jade Masks and Mayan Glyphs. The game includes four mini-games featuring unique stylus-based controls and high score leaderboards, an interactive journal and bonus content.","PopCap Games","","Amazing Adventures: The Forgotten Ruins","","","E","Adventure","","","2008-11-11","Black Latern Studios","1","United States","Handheld Console","Cartridge","No","","Snap Case","1","$4.49","$4.49","2012-07-30","Used","Complete in Case
GameStop","899274001352","980112","2020-09-14 15:50:26",Collection
"3DS","Play as The Amazing Spider-man in this newest free roam installment and uncover the original epilogue to the film.","Activision","Yes","Amazing Spider-Man, The","","","T","Action","","57","2006-06-12","Other Ocean","1","United States","Handheld Console","Cartridge","No","","Slip Sleeve","1","","$12.50","2020-01-05","Sealed In Case - Resealed","eBay","047875843530","1009581","2020-01-20 17:23:19",Collection
"DS","","THQ","","American Girl: Julie Finds A Way","","","E","Compilation","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$4.49","$4.49","2012-07-22","","","785138361420","1542809","2020-02-02 16:32:11",Collection
"DS","","THQ","No","American Girl: Kit Mystery Challenge!","","","E","","","","1969-12-31","American Girl","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.99","2020-01-05","Complete In Case","HPB - Huebner","785138361680","1542811","2020-05-24 15:35:42",Collection
"3DS","","Maximum Games","Yes","American Mensa Academy","","","","Educational, Strategy, Trivia","","","2012-11-13","Silverball Studios Limited","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$6.29","$6.29","2015-03-03","Complete In Case","GameStop - Stone Oak","814290012304","1279176","2019-01-03 15:07:13",Collection
"DS","","Conspiracy Entertainment","No","Americas Next Top Model","","","E10+","Adult, Simulation","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.22","2020-03-01","Complete In Case - Artwork Damaged","eBay","815315001952","1048065","2020-03-21 21:41:49",Collection
"DS","","Nintendo","","America’s Test Kitchen: Lets Get Cooking","","","E","Simulation","","","1969-12-31","Criware","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$0.99","$0.99","2013-03-08","Sealed In Case","GameStop","044406740764","1376627","2019-01-03 18:17:22",Collection
"3DS","","PixelHeart, Storybird, VGNY soft","No","Andro Dunos 2","","","E","Side Scrolling, Shoot ’em Up (shmup)","","","2022-04-08","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$39.99","2022-04-08","Sealed In Case","Special late physical release from Video Games New York
Two insert piece advertisements included with sealed game. ","789993810994","1849807","2022-05-04 15:41:37",Collection
"3DS","Angry Birds with a Star Wars theme.","Activision Publishing, Inc","Yes","Angry Birds Star Wars","","","E","Puzzle","","","2013-10-29","Activision","2-4","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","$7.21","2015-08-13","Sealed In Case","Best Buy Online","047875767904","1272898","2019-01-03 22:09:36",Collection
"3DS","","Activision Blizzard","Yes","Angry Birds Trilogy","","","E","Action","","7","2025-09-12","Rovio","1","United States","Handheld Console","Cartridge","No","0","Snap Case","1","$9.45","$9.45","2018-12-24","Complete In Case","GameStop - Mercari","047875767294","1571857","2019-01-03 21:49:14",Collection
"DS","","Destineer","","Animal Boxing","","","","Fighting","","","1969-12-31","Gammick","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$5.00","$5.00","2015-02-02","Complete In Case","eBay","828068212612","995787","2019-01-03 15:07:38",Collection
"3DS","","Nintendo","Yes","Animal Crossing: Happy Home Designer","","","E","Role Playing Game, Simulation","","8.0","2015-09-25","Nintendo","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","","","Sealed In Case","???","045496743284","1449082","2019-01-03 21:49:00",Collection
"3DS","Animal Crossing: New Leaf is a life-simulation video game for the Nintendo 3DS console and the fourth main title in Nintendo’s Animal Crossing series, where the player takes control of the mayor instead of a normal villager. The game was first released on November 8, 2012 in Japan and was later released in North America, Europe, and Australia in June 2013. The game has received very positive reviews, gaining aggregate scores of 88 and 87.30% on Metacritic and GameRankings, so far making it the highest rated game in the Animal Crossing series.","Nintendo","Yes","Animal Crossing: New Leaf","","","E","Adventure, Simulation","","9.6","2013-06-09","Nintendo","1","United States","Handheld Console","Cartridge","No","0","Snap Case","1","$34.99","$34.99","2013-06-09","Complete In Case","GameStop - Arbor Park","045496742393","1271399","2019-01-03 21:49:07",Collection
"DS","Players move into a living, breathing world inside the Nintendo DS... and then invite their friends to visit from anywhere on earth. In Animal Crossing: Wild World, the sequel to the popular Nintendo GameCube game, players and up to three friends can hang out in the same village and interact in real time -- either through wireless LAN or over Nintendo Wi-Fi Connection. Players can visit a friend’s village from thousands of miles away. The touch screen makes item management and world navigation a breeze. Typing letters and designing patterns are now just stylus strokes away. Days and seasons pass in real time, so whether players want to decorate their homes, catch bugs or fish, collect brand-new items like hats and sunglasses or just chat with the wild and wacky characters in their villages, there’s always something to do.","Nintendo","No","Animal Crossing: Wild World","","","E","Role Playing Game, Simulation","","8.8","2005-12-05","Nintendo","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$0.00","$0.00","2011-12-11","Complete In Case","GameStop - ???","045496735920","900739","2019-01-03 20:17:18",Collection
"DS","","","","Animal Genius","","","E","Educational, Trivia","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$0.00","$0.00","2012-04-04","Complete In Case","GameStop - ???","047875754133","1048539","2019-01-03 15:07:38",Collection
"Wii","","","No","Animal Kingdom: Wildlife Expedition","","","E","","","","","","","","","","","","","1","","","","Sealed In Case","","719593120087","1918889","2023-09-30 15:29:36",Collection
