"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"DS","","Game Mill","No","Silverlicious","","","E","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$3.97","2020-01-23","Used","Complete in Case
Lukie Games","834656086107","1272122","2020-02-15 22:37:02",Collection
"DS","","Electronic Arts","","Sim Animals","","","E","Educational, Simulation","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$2.66","$2.66","2019-01-01","Complete In Case","GameStop - Bandera Place","014633190687","982099","2020-02-01 17:36:28",Collection
"Super NES","Complete in Case","Nintendo","No","Sim City Players Choice","","","E","Real Time Strategy, Simulation, Strategy","","8.5","1991-05-30","Nintendo","1","United Kingdom","Controller Game Pad","Cartridge","No","0","Box Set","1","","","","","","045496830038","1262796","2019-01-03 15:06:16",Collection
"DS","","EA","No","SimAnimals Africa","","","E","Adventure, Educational, Role Playing Game, Sandbox, Simulation","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.97","2020-01-24","Used","Complete in Case
Lukie Games","014633191523","1011644","2020-02-12 14:54:51",Collection
"DS","","Electronic Arts/EA Games","","Simcity","","","E","Simulation","","7.0","2007-06-19","Electronic Arts/EA Games","2","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","","","Used","Complete in Case","014633157598","1363732","2019-01-03 21:14:31",Collection
"DS","","Electronic Arts","","Simcity Creator","","","E","Simulation","","","2008-09-22","Aki Corporation","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$3.99","$3.99","2019-01-01","Complete In Case","GameStop - Bandera Point","014633190700","1545415","2020-02-01 17:19:01",Collection
"DS","","EA","No","Sims 2: Castaway","","","E","Simulation","","7","2007-10-22","Nintendo","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$0.00","2020-01-20","Missing Health/Safety Booklet","GameStop - Madison Market","014633157345","1400671","2020-01-20 21:20:25",Collection
"DS","","EA","No","Sims 2: Castaway","","","E","Simulation","","7","2007-10-22","Nintendo","1","Canada","Handheld Console","Cartridge","","","Snap Case","1","","$8.00","2021-10-23","Complete In Case","Retropalooza 2021
Canadian ESRB","014633157345","1400671","2021-10-30 21:20:11",Collection
"Wii","","Nintendo","No","Sin & Punishment Star Successor","","","T","Adventure","","9","2010-06-27","Treasure","2","","Motion Sensing Remote","DVD","No","1","Snap Case","1","$9.99","$9.99","2013-03-18","Sealed In Case","","045496901820","1332022","2019-01-03 15:06:43",Collection
"Wii U","","Nintendo","No","Sing Party","","","E10+","Singing","","","1969-12-31","Activision","4","United States","Microphone","DVD","","1","Colored Snap Case","1","","$10.96","2020-01-01","Complete In Case","Game Over - Online","045496903053","1274988","2020-03-02 12:38:28",Collection
"Xbox 360","Great Game","Activision","No","Singularity","","","M","First Person Shooter","","7","2010-06-29","Raven Software","1","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$8.99","$8.99","2013-02-24","","","047875837119","999184","2019-01-03 15:06:39",Collection
"DS","A Six Flags theme park of your very own.","Brash Entertainment","No","Six Flags Fun Park","","","E","Action, Adventure","","","2008-11-11","7 Studios","1","United States","Handheld Console","Cartridge","No","","Snap Case","1","$8.99","$8.99","2011-12-11","Used","Complete in Case
GameStop","890181002265","1305666","2019-01-03 15:06:16",Collection
"DS","","Electronic Arts","No","Skate It","","","E","Sports","","7.9","2008-11-19","Electronic Arts/EA Games","2","United States","Handheld Console","Cartridge","","1","Snap Case","1","","$6.97","2020-01-25","Used","Complete in Case
Lukie Games","014633157680","943951","2020-02-03 20:15:25",Collection
"3DS","","Activision","Yes","Skylanders Giants Starter Pack","","","","Adventure, Fantasy, Fighting","","7,7","1969-12-31","n-Space","","United States","Handheld Console","Cartridge","Yes","","Box Set","1","","","","Sealed In Box","???","047875843943","1269915","2019-01-03 15:07:12",Collection
"Wii U","","Activision","No","Skylanders Imaginators","","","E","Adventure, Platform","","","1969-12-31","","2","United States","Handheld Console","Blu-Ray Disc","","1","Colored Snap Case","1","","$2.25","2020-01-01","Complete In Case","GameStop - The Rim","5030917199233","1491694","2020-01-20 20:00:01",Collection
"3DS","","Activision ","","Skylanders Spyros Adventures Started Pack","","","E10+","","","","1969-12-31","","","United States","Handheld Console","Cartridge","Yes","","Box Set","1","","","","Sealed In Box","???","047875843240","1577811","2019-01-03 15:07:12",Collection
"3DS","Frozen in our world. Alive in theirs.
For generations, the Skylanders have used their magical powers and weapons to protect Skylands. But now, an evil tyrant has frozen and banished them to Earth. Only you can put them on the Portal of Power and bring them back to life in their world to save Skylands forever. In the Nintendo 3DS game, embark on a whole new adventure with your Skylanders in the Radiant Isles.

Inanimés dans notre monde. Vivants dans le leur.
Depuis des générations, les Skylanders utilisent leurs pouvoirs et leurs armes magiques pour protéger Skylands. Mais aujourd’hui, un tyran démoniaque les a paralysés, bannis et envoyés sur Terre. Vous seul pouvez les placer sur le Portal of Power et les ramener à la vie dans leur monde, pour qu’ils puissent sauver Skylands pour toujours. Joue sur Nintendo 3DS et embarque avec tes Skylanders pour une toute nouvelle aventure au coeur les Radiant Isles.","Activision","Yes","Skylanders: Spyro’s Adventure","","","E10+","Action, Adventure, Fantasy, Fighting, Puzzle, Simulation, Strategy","","8.0","2011-10-16","Vicarious Visions","1","United States","Handheld Console","Cartridge","No","1","Box Set","1","$59.99","$59.99","2012-07-28","","","5030917096518","1180794","2019-01-03 22:56:29",Collection
"3DS","In Skylanders SWAP Force, Portal Masters embark on an all new adventure in the mysterious Cloudbreak Islands, home to a mystical volcano that erupts every hundred years to replenish the magic in Skylands. During an epic battle, a brave group of Skylanders were caught in the volcano’s eruption, which blasted them apart and sent them to earth. But, the magic of the volcano gave these heroes a remarkable new power -- the ability to swap halves - turning them into a special team known as the SWAP Force. Meanwhile, Kaos is back with a new evil plan. And now, Portal Masters everywhere must reassemble the SWAP Force -- in their original form or in new combinations -- and send them back to Cloudbreak to save Skylands!","Activision","Yes","Skylanders: Swap Force Starter Pack","","","E10+","Action","","7,1","2013-10-13","n-Space","2","United States","Handheld Console","Cartridge","Yes","0","Box Set","1","","$17.31","2015-01-28","Sealed In Box","Best Buy","047875847217","1459255","2019-01-03 22:58:49",Collection
